model,date,actual,predicted
XGBoost,2020-01-01,-15574.0,-17787.763671875
XGBoost,2020-04-01,-16240.0,-4067.755126953125
XGBoost,2020-07-01,-11268.0,-9732.365234375
XGBoost,2020-10-01,1584.0,2584.62158203125
XGBoost,2021-01-01,-7378.0,-6080.0380859375
XGBoost,2021-04-01,1422.0,-895.9286499023438
XGBoost,2021-07-01,1792.0,-4339.30419921875
XGBoost,2021-10-01,13125.0,3687.990234375
XGBoost,2022-01-01,-12636.0,-16211.00390625
XGBoost,2022-04-01,-13668.0,-10426.021484375
XGBoost,2022-07-01,-20368.0,-10253.0029296875
